season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,201147,Corey Brewer,LAL,1072,-1.53,-1.22,-2.75,1.262,1.41,-1.11,-0.88,-1.99,-2.63,-1.46,-1.16,273
2018,201148,Brandan Wright,MEM,327,1.03,-0.15,0.88,1.363,1.538,0.25,-0.04,0.21,0.84,0.98,-0.14,120
2018,201152,Thaddeus Young,IND,2365,-0.07,-0.91,-0.98,1.377,1.42,-0.13,-1.6,-1.73,-0.94,-0.07,-0.87,254
2018,201156,Nick Young,GSW,1198,0.09,0.16,0.25,1.443,1.516,0.08,0.15,0.22,0.24,0.08,0.16,117
2018,201158,Marco Belinelli,ATL,1650,-1.97,-2.52,-4.49,1.405,1.396,-2.28,-2.93,-5.21,-4.29,-1.88,-2.41,329
2018,201160,Jason Smith,WAS,261,-0.32,-1.23,-1.55,1.329,1.451,-0.06,-0.23,-0.29,-1.49,-0.31,-1.18,152
2018,201162,Jared Dudley,PHO,588,0.68,1.05,1.74,1.155,1.451,0.32,0.49,0.81,1.66,0.65,1.0,87
2018,201163,Wilson Chandler,DEN,2109,-0.6,-0.68,-1.28,1.448,1.451,-0.94,-1.05,-1.99,-1.22,-0.58,-0.65,274
2018,201167,Arron Afflalo,ORL,600,-0.08,-2.23,-2.3,1.313,1.367,-0.03,-0.96,-0.99,-2.2,-0.07,-2.13,206
2018,201188,Marc Gasol,MEM,2120,2.48,2.93,5.42,1.385,1.428,3.82,4.52,8.35,5.18,2.37,2.81,15
2018,201196,Ramon Sessions,WAS,324,-1.55,-1.54,-3.08,1.416,1.474,-0.36,-0.36,-0.72,-2.95,-1.48,-1.47,187
2018,201229,Anthony Tolliver,DET,1539,0.11,-0.21,-0.1,1.196,1.477,0.13,-0.25,-0.12,-0.09,0.11,-0.2,138
2018,201563,Michael Beasley,NYK,1456,-0.35,-0.23,-0.58,1.536,1.677,-0.39,-0.25,-0.64,-0.55,-0.34,-0.22,178
2018,201565,Derrick Rose,CLE,387,-1.24,-1.58,-2.81,1.427,1.416,-0.38,-0.49,-0.87,-2.69,-1.18,-1.51,198
2018,201566,Russell Westbrook,OKC,2591,6.14,3.52,9.65,1.46,1.417,12.11,6.94,19.05,9.22,5.86,3.36,1
2018,201567,Kevin Love,CLE,1493,1.26,1.43,2.69,1.432,1.451,1.5,1.7,3.2,2.57,1.2,1.37,45
2018,201568,Danilo Gallinari,LAC,593,1.65,1.49,3.15,1.492,1.545,0.74,0.67,1.41,3.01,1.58,1.43,70
2018,201569,Eric Gordon,HOU,1917,0.03,1.06,1.1,1.374,1.478,0.05,1.56,1.61,1.05,0.03,1.02,63
2018,201571,D.J. Augustin,ORL,1563,-2.0,-1.17,-3.16,1.284,1.425,-2.24,-1.31,-3.56,-3.02,-1.91,-1.12,310
2018,201572,Brook Lopez,LAL,1613,1.84,2.45,4.28,1.395,1.445,2.0,2.67,4.68,4.1,1.75,2.34,30
2018,201573,Jerryd Bayless,PHI,790,-1.15,-1.54,-2.69,1.449,1.484,-0.71,-0.95,-1.66,-2.57,-1.1,-1.47,250
2018,201577,Robin Lopez,CHI,1533,-0.55,1.11,0.56,1.244,1.447,-0.63,1.29,0.65,0.54,-0.53,1.06,96
2018,201578,Marreese Speights,ORL,604,0.01,-0.92,-0.91,1.473,1.458,0.0,-0.4,-0.4,-0.87,0.01,-0.88,160
2018,201580,JaVale McGee,GSW,538,-0.89,0.93,0.04,1.58,1.6,-0.36,0.37,0.02,0.04,-0.85,0.89,130
2018,201583,Ryan Anderson,HOU,1565,0.17,-0.85,-0.69,1.372,1.519,0.2,-1.03,-0.83,-0.66,0.16,-0.82,195
2018,201584,Courtney Lee,NYK,2026,-0.23,-1.04,-1.27,1.147,1.409,-0.36,-1.6,-1.96,-1.21,-0.22,-0.99,271
2018,201585,Kosta Koufos,SAC,1237,-1.03,0.82,-0.21,1.224,1.424,-0.91,0.73,-0.19,-0.2,-0.99,0.78,146
